Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
1.5,24700130,1,24700130.0,24700130.0,24700130,24700130,0.0,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:321', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:315', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/linear.py:134']}"
1.5,24665218,1,24665218.0,24665218.0,24665218,24665218,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'linear', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 2048), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (1000, 2048), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (1000,), 'dtype': 'float32'}]}"
1.4,23092684,1,23092684.0,23092684.0,23092684,23092684,0.0,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144']}"
1.4,23045577,1,23045577.0,23045577.0,23045577,23045577,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'softmax', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 1000), 'dtype': 'float16'}, {'name': 'dim', 'type': 'int', 'value': 1}]}"
1.4,22872540,1,22872540.0,22872540.0,22872540,22872540,0.0,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/pyprof/nvtx/nvmarker.py:137', '/usr/local/lib/python3.12/dist-packages/torch/nn/functional.py:2157']}"
1.4,22824742,1,22824742.0,22824742.0,22824742,22824742,0.0,PushPop,"{'mod': 'Tensor', 'op': 'softmax', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 1000), 'dtype': 'float16'}, {'name': '', 'type': 'int', 'value': 1}]}"
1.2,20078168,3,6692722.7,350606.0,147030,19580532,11161634.4,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 64, 56, 56), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (64, 64, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
1.1,18574807,4,4643701.8,5888447.0,235097,6562816,2956469.7,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:320', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/container.py:253', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/container.py:253', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:163', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/container.py:253', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/conv.py:553', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/conv.py:548']}"
1.1,18407176,3,6135725.3,117454.0,114867,18174855,10426192.2,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 512, 28, 28), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (128, 512, 1, 1), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (0, 0)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.9,14672947,4,3668236.8,165038.5,132593,14210277,7028090.3,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 64, 56, 56), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (256, 64, 1, 1), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (0, 0)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
