Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.5,1008881757,10,100888175.7,100252628.5,100127033,103580017,1139723.4,poll
7.4,80191760,335,239378.4,41846.0,643,2543318,443158.7,ioctl
0.0,399812,68,5879.6,6433.0,1472,11765,2785.8,munmap
0.0,325232,5840,55.7,43.0,21,562,41.3,pthread_cond_signal
0.0,196849,25,7874.0,7007.0,4871,22713,3369.2,mmap
0.0,119023,42,2833.9,2887.0,668,11547,1717.2,read
0.0,50280,6,8380.0,8559.5,7348,8858,601.5,open64
0.0,8038,1,8038.0,8038.0,8038,8038,0.0,write
