Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.2,801257334,8,100157166.8,100153954.0,100084585,100238701,42540.3,poll
3.7,31203182,225,138680.8,39591.0,595,4621264,365410.5,ioctl
0.0,263450,5840,45.1,38.0,20,11019,146.0,pthread_cond_signal
0.0,116781,42,2780.5,2777.0,621,8973,1472.6,read
0.0,76217,6,12702.8,8874.0,5274,30185,9339.5,mmap
0.0,60911,12,5075.9,5723.0,1690,8905,2648.7,munmap
0.0,57984,6,9664.0,8564.5,6987,16556,3571.2,open64
0.0,7719,1,7719.0,7719.0,7719,7719,0.0,write
